User Input,Chatbot Response,Timestamp
heart attack,"Call 112 for emergencies in India.
For poison-related issues, call 1800-116-117 (Poison Control).",2025-03-13 22:33:20
first aid for heart attack,"1. Cool the burn under running water for 10 minutes.
2. Cover with a clean cloth.
3. Do not apply ice or ointments.
4. Visit a doctor for severe burns.",2025-03-13 22:33:39
cpr,"1. Call 112 .
2. Push hard and fast on the center of the chest (100-120 compressions per minute).
3. Give 2 breaths after every 30 compressions.
4. Continue until help arrives.",2025-03-13 22:40:47
bleeding,"1. Press firmly on the wound with a clean cloth.
2. Elevate the injured area.
3. Call 112 if bleeding doesn't stop.",2025-03-13 22:41:02
nose,"1. Use an epinephrine auto-injector if available.
2. Call 112 immediately.
3. Lie down and elevate legs.
4. Monitor breathing.",2025-03-13 22:41:11
bleeding,"1. Press firmly on the wound with a clean cloth.
2. Elevate the injured area.
3. Call 112 if bleeding doesn't stop.",2025-03-13 22:59:31
nose,"1. Use an epinephrine auto-injector if available.
2. Call 112 immediately.
3. Lie down and elevate legs.
4. Monitor breathing.",2025-03-13 23:00:56
nose,"1. Use an epinephrine auto-injector if available. 
 2. Call 112 immediately. 
 3. Lie down and elevate legs. 
 4. Monitor breathing.",2025-03-13 23:04:52
emergency,"Call 112 for emergencies in India. 
  For poison-related issues, call 1800-116-117 (Poison Control).",2025-03-13 23:06:04
firstaid,"1. Use an epinephrine auto-injector if available. 
 2. Call 112 immediately. 
 3. Lie down and elevate legs. 
 4. Monitor breathing.",2025-03-13 23:09:40
heart,"1. Use an epinephrine auto-injector if available. 
 2. Call 112 immediately. 
 3. Lie down and elevate legs. 
 4. Monitor breathing.",2025-03-13 23:09:52
nose,"1. Use an epinephrine auto-injector if available. 
 2. Call 112 immediately. 
 3. Lie down and elevate legs. 
 4. Monitor breathing.",2025-03-13 23:22:07
nose,"1. Use an epinephrine auto-injector if available. 
 2. Call 112 immediately. 
 3. Lie down and elevate legs. 
 4. Monitor breathing.",2025-03-13 23:22:36
firstaid,"1. Use an epinephrine auto-injector if available. 
 2. Call 112 immediately. 
 3. Lie down and elevate legs. 
 4. Monitor breathing.",2025-03-13 23:27:47
poisioning,"1. Use an epinephrine auto-injector if available. 
 2. Call 112 immediately. 
 3. Lie down and elevate legs. 
 4. Monitor breathing.",2025-03-13 23:27:58
nose,"1. Use an epinephrine auto-injector if available. 
 2. Call 112 immediately. 
 3. Lie down and elevate legs. 
 4. Monitor breathing.",2025-03-13 23:28:23
nose,"1. Use an epinephrine auto-injector if available. 
 2. Call 112 immediately. 
 3. Lie down and elevate legs. 
 4. Monitor breathing.",2025-03-13 23:29:07
heart,"1. Use an epinephrine auto-injector if available. 
 2. Call 112 immediately. 
 3. Lie down and elevate legs. 
 4. Monitor breathing.",2025-03-13 23:29:19
hello,"1. Use an epinephrine auto-injector if available. 
 2. Call 112 immediately. 
 3. Lie down and elevate legs. 
 4. Monitor breathing.",2025-03-13 23:33:25
hi,"Hello! I'm FirstAidMate, your AI-powered first-aid assistant. You can ask me about first aid for burns, CPR, choking, and more. Just type your question, and I'll guide you!",2025-03-13 23:39:58
hello,"Hi! Need first-aid help? I'm here to guide you. Ask me about cuts, burns, fractures, or any emergency situation.",2025-03-13 23:44:59
bleeding,"1. Press firmly on the wound with a clean cloth. 
 2. Elevate the injured area. 
 3. Call 112 if bleeding doesn't stop.",2025-03-14 00:17:55
bleeding,"1. Press firmly on the wound with a clean cloth. 
 2. Elevate the injured area. 
 3. Call 112 if bleeding doesn't stop.",2025-03-14 00:20:00
nose,"Hey there! I'm FirstAidMate, here to provide first-aid assistance. Just ask me anything related to first aid, and I'll help you out.",2025-03-14 00:20:08
hello,"Hello! I'm FirstAidMate, your AI-powered first-aid assistant. You can ask me about first aid for burns, CPR, choking, and more. Just type your question, and I'll guide you!",2025-03-14 00:20:29
bye,"Hello! I'm FirstAidMate, your AI-powered first-aid assistant. You can ask me about first aid for burns, CPR, choking, and more. Just type your question, and I'll guide you!",2025-03-14 00:20:36
hi,"Hello! I'm FirstAidMate, your AI-powered first-aid assistant. You can ask me about first aid for burns, CPR, choking, and more. Just type your question, and I'll guide you!",2025-03-14 00:20:50
firstaid,"Hey there! I'm FirstAidMate, here to provide first-aid assistance. Just ask me anything related to first aid, and I'll help you out.",2025-03-14 00:25:08
bleeding,"1. Press firmly on the wound with a clean cloth. 
 2. Elevate the injured area. 
 3. Call 112 if bleeding doesn't stop.",2025-03-14 00:42:52
